#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217  xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
 1 1420.5872 3.0618102 0.96223679 1.0411161 0.022551885 0.11922578  0.06181534  1.0010546   1.000537 0.99869759 40.706116  0.97998116 6.7719085 3.3431305  10.43435  12.15709 23.286366 97.557874 237.54779  50.83558 52.729898 126.40963    0.099694905  0.15846169 0.41802512 0.20515138 0.54292877 2.2261331 2.1366199e-09 67.844593 0.30942048 0.14242281 0.69050102  0.2454661 0.24679287 2.5526855 8.3736679 0.81427251 0.98858076 0.45294378 0.60730525 2.1366199 1.8881441 13.770018 147.09655 23.611019 20.377613 3.2334067 2793.9524 24.626472 398.33864   2362.29 8.6972587
 1 1421.3542 3.0473526   0.963057 1.0410648 0.022579755 0.11863986 0.054730777  1.0020187   1.000581 0.99811482 40.437599  0.92913952 6.1288236 3.4613276 7.7255446 12.779162 22.365079 95.413045 257.96318  52.03383  48.48709 128.01488     0.13743128  0.17833698 0.39378579 0.24190622 0.54578763 1.8602332 2.1059517e-09 68.057725 0.30628072 0.14186475 0.69364127 0.24547583 0.24680264  2.547813 7.6562461 0.80649202 0.97760038 0.44633393 0.59997063 2.1059517 1.8875995 13.766237  147.2208 23.351023 20.544937 2.8060867 2796.0064 24.049527    396.09 2367.3414 8.5254925
 6 1421.3309 3.0375605 0.95878178  1.040438 0.022191897 0.12008151 0.049342192  1.0017273  1.0005203 0.99849022 41.973416  0.94558325 4.1469404 4.7900024 9.1875637 14.189609 22.822939 97.064941  277.6149 56.580219 47.042018 124.13937     0.14120609  0.19034288 0.44667372 0.29229604 0.60679855 1.8300125 2.0854306e-09 67.020292 0.31818225 0.14291854 0.68173731 0.24532625 0.24665251 2.6194676 7.2043539 0.80719702 0.98599881 0.45532084 0.60624551 2.0854306 1.8894598 13.830229 147.27089  23.83987 21.616429 2.2234418  2794.982 24.591922 395.69695 2366.0728 8.6202864
12 1420.9115 3.0620534 0.96030664 1.0403688 0.022251348 0.11965178 0.062701504  1.0009259  1.0007212 0.99820984 37.761089  0.99175258 4.0257443  4.454249 8.0234526 13.747851 20.423034 96.063821 287.20567 54.576021  50.57585 132.60201      0.1386325  0.17148197 0.50146208 0.27388955 0.66964792 1.9591539 2.1371396e-09 67.196493 0.31569574 0.14254826 0.68422424 0.24535076 0.24667711 2.6080828 8.5395676   0.815843 0.99525253 0.45839614 0.61153846 2.1371396 1.8852592 13.824504 147.31826 21.871084 19.745353 2.1257315 2798.0809   24.8061 398.98099 2365.1524 9.1413516
 2 1420.4061 3.0541397 0.96235003 1.0403688 0.022251348 0.11965178 0.062701504 0.99749469  1.0010093 0.99889404 43.113709  0.87527282 3.9364352 3.3293802 9.0240893 12.624907 20.339173  94.64925 317.02081  57.09261 49.599173 125.98136     0.12117031  0.16397492  0.5232173 0.30197027  0.7003207 2.2853018 2.1202936e-09 67.196493 0.31569574 0.14254826 0.68422424 0.24535076 0.24667711 2.6080828 8.5395676 0.81324479 0.99208296 0.45693629 0.60959089 2.1202936 1.8703986 13.824504 147.31826 23.195931 21.177474 2.0184564 2794.4203 24.198996 398.88751 2362.5334  8.800361
 2 1416.7026 3.0460497  0.9625868 1.0406224 0.022231095 0.11957476 0.058400774 0.99850466  0.9996694 0.99982795  48.27467  0.87624033 2.9913568 6.7560865 9.4562161   11.6711 20.293549 94.561951 273.54568 50.600997 36.953818  108.2745      0.1199181  0.17682125 0.51942171 0.23571105 0.71385188 2.1420352 2.1032097e-09 67.291589 0.31458928 0.14245099 0.68533093 0.24534241 0.24666873 2.6119594 8.1187561 0.81009719 0.98754463 0.45436941 0.60669875 2.1032097 1.8713555 13.818628 147.36125 24.802952 22.553689 2.2492628 2783.7993 23.867224 397.19489 2354.0747 8.6624734
 1  1415.752 3.0445869 0.96320609 1.0406375  0.02224464  0.1192787 0.057902776 0.99860841 0.99966901  0.9993707 40.844212   0.8765057 2.6433574 7.9983926 9.0226202 11.247237 19.360554  99.06624 258.03443 46.349955 36.714601  114.9186     0.10206192  0.18024904 0.48102617 0.31669852 0.75105726 2.2899294 2.1001354e-09 67.411955 0.31284519 0.14216848  0.6870753 0.24534799 0.24667434 2.6093663 8.0607502  0.8086554 0.98490656 0.45230171 0.60477783 2.1001354 1.8704822 13.815554 147.42467 24.773997 22.343074  2.430923 2781.9561 23.705903 396.98701 2352.5735 8.6897047
 8 1413.2951 3.0563864 0.96509717 1.0407048  0.02233388 0.11860075 0.064634985 0.99852349 0.99969329 0.99804493 49.390259  0.33070326 5.1663308 3.6784557   6.25535 11.379485 16.641633 88.513863 267.37386 47.538328 41.580175 114.65297     0.11974729 0.099143676 0.45245155 0.17102825 0.62195163 2.1928828 2.1250627e-09 67.747725 0.30846918 0.14157977  0.6914521 0.24538445 0.24671092 2.5923738 8.6877769 0.81137665 0.98576898 0.45063861 0.60467979 2.1250627 1.8673706 13.801611  147.5052 21.564602 19.215052 2.3495506 2783.4611  23.57202 399.49294 2351.8505 8.5456259
 3 1415.8346 3.0586065 0.96321886 1.0407048  0.02233388 0.11860075 0.064634985 0.99938273  1.0004376 0.99775248 52.598654  0.11467701 4.8773981 1.9214588 9.9088058 11.138495  16.00566 84.642101 282.10751 49.549275 40.519054 116.67686    0.062495049  0.12972945 0.40239012 0.23003554 0.71215819 2.3314787 2.1297857e-09 67.747725 0.30846918 0.14157977  0.6914521 0.24538445 0.24671092 2.5923738 8.6877769 0.81170135 0.98616347 0.45081894 0.60492176 2.1297857 1.8715209 13.801611  147.5052 21.514572 19.494201 2.0203707   2788.64 24.052211 399.57678 2356.5526 8.4583923
 3  1415.571 3.0586386 0.96331918 1.0407369 0.022340744 0.11857349 0.064645554 0.99864663 0.99991981 0.99795951 51.859452  0.17418899 5.0319473 1.6034956 10.311884 11.585568 16.411992  87.34206 264.26457 45.672288 42.019686 115.11407    0.070953893  0.11238474 0.40328434 0.19310237  0.7401961 2.3656693 2.1298543e-09 67.773804 0.30818741 0.14155937 0.69173393 0.24538721 0.24671369 2.5910777 8.6866261 0.81165003 0.98591138 0.45058451 0.60474534 2.1298543 1.8715415  13.79984 147.50475 21.663833 19.644954 2.0188789 2787.8144 24.160795 399.60636 2355.6001 8.4471284
