#weight  minuslogpost         A         ns        H0      omegab     omegam      DES_DzS1      DES_DzS2      DES_DzS3      DES_DzS4         DES_m1        DES_m2        DES_m3        DES_m4       DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
 1 97.917458 4.5563617 0.98262919 64.428567 0.035215299 0.22259925 -0.0056997679   -0.014199706  0.0020492846    -0.03261086   0.012040594  0.0016145774  -0.0047107801    -0.01879672 0.44566336 -0.13604521 0 0.014618012 0.077516032 4.5563617e-09 0.24113708 0.95449945  0.4503369 0.65562667 -18.106954 -18.106954 232.04882 232.04882
 1 102.67126 4.4363456   1.025272 64.428567 0.035215299 0.22259925   0.030023644   0.0038062903   0.011653579   0.0049746487   0.007142384   0.022941126    0.036917754   0.0076032606  1.2590309   4.5128841 0 0.014618012 0.077516032 4.4363456e-09 0.24113708 0.95477615 0.45046745 0.65581673  -15.16716  -15.16716 235.67684 235.67684
 6 101.08533 4.5574281  1.0432236 65.680461 0.039806589 0.21982822   0.023393923   0.0037579636  0.0036077958   -0.024586718   0.037367445   0.025801619    0.010396543    0.028065113  1.1155149  -2.2491704 0 0.017172256 0.077381635 4.5574281e-09 0.24280115  0.9496077 0.44523157 0.65022713 -16.006608 -16.006608 234.18387 234.18387
 6 97.905369 4.5395143  1.0512219 65.680461 0.039806589 0.21982822   0.029274651   -0.011021793 -0.0015065502   -0.011547658  0.0053115732   0.011541533    0.011381215    0.035221276   1.143909  0.68354765 0 0.017172256 0.077381635 4.5395143e-09 0.24280115 0.95028401 0.44554866 0.65069023 -16.870641 -16.870641 229.55202 229.55202
15 103.96497 4.5301939  1.0396876 65.680461 0.039806589 0.21982822   0.020471457   -0.017705273  0.0040127152    0.040982313   -0.00100174   0.057412272    0.017340939    0.023808808 0.65941499   3.4473974 0 0.017172256 0.077381635 4.5301939e-09 0.24280115  0.9456489 0.44337545 0.64751642 -13.030913 -13.030913 233.99176 233.99176
 6 97.461583 4.6208221 0.95311239 65.680461 0.039806589 0.21982822   0.0083363544 -0.0053231023  0.0030467781  0.00016683379    0.01550098   0.017490085 -0.0051142029   0.020251632   0.83022419  2.4358509 0 0.017172256 0.077381635 4.6208221e-09 0.24280115 0.92867482 0.43541701 0.63589371 -18.308435 -18.308435 231.54004 231.54004
 2  102.3307 4.8119776  1.0092293 65.680461 0.039806589 0.21982822   0.0023608369  -0.010618137 -0.0052882559   0.0020021019   0.062421174 -0.0022448531   0.039211628    0.01885747   0.75277122 0.59056226 0 0.017172256 0.077381635 4.8119776e-09 0.24280115 0.96486672 0.45238589 0.66067548 -15.074888 -15.074888 234.81118 234.81118
 1 98.098473 4.7504284 0.98942467 65.680461 0.039806589 0.21982822    0.010210758   -0.01993827   0.011281124   -0.040779146   0.023053013 -0.0081310117  0.0083582321 -0.0084750169   0.87197131  2.1776957 0 0.017172256 0.077381635 4.7504284e-09 0.24280115 0.95253834 0.44660563 0.65223384 -18.187859 -18.187859 232.57266 232.57266
 1  98.85535 4.9195833 0.97301277 65.680461 0.039806589 0.21982822   0.0044514448  -0.011384112 -0.0027764564   -0.050398915   0.026031803 -0.0020921504  0.0090203565   0.010814931   0.76697901  2.7055191 0 0.017172256 0.077381635 4.9195833e-09 0.24280115 0.96426955  0.4521059 0.66026658 -17.630139 -17.630139 232.97098 232.97098
 1 104.27003 4.7374886 0.94785848 63.836005 0.033980844 0.22514668      0.0182932  -0.033710354  0.0019017261   -0.017626977   -0.04424145   0.034000801  -0.012566107  -0.024189389   0.91013739 -1.5383684 0 0.013847315 0.077637857 4.7374886e-09  0.2405593 0.97060017 0.46054613 0.66858518 -13.069713 -13.069713 234.67948 234.67948
