#weight  minuslogpost         A         ns        H0      omegab     omegam       DES_DzS1      DES_DzS2       DES_DzS3      DES_DzS4        DES_m1        DES_m2        DES_m3       DES_m4    DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
 2 100.71089 3.9551095  1.0648727 87.336318 0.058815465 0.20658449   0.0056865536  -0.039412602 -0.00018585492  -0.015104271   0.044053145   0.050045308   0.024984495  -0.004694863    0.3434687    1.976673 0 0.044862275  0.11222069 3.9551095e-09 0.25071434 0.98600762 0.44815591 0.66474442 -15.461373 -15.461373 232.34452 232.34452
 3 98.693586  3.833174  1.0111077 87.336318 0.058815465 0.20658449   -0.012365244  -0.012017666   0.0038654516  -0.038070865   0.021540041   0.022655912   0.032668319   0.029336195 -0.096259851   1.1266973 0 0.044862275  0.11222069  3.833174e-09 0.25071434 0.94619169 0.43005894  0.6379014 -18.097977 -18.097977 233.58313 233.58313
19 100.52588 3.8965174  1.0062501 87.336318 0.058815465 0.20658449   0.0018164419  -0.016745433   0.0052617132   0.027431023 -0.0079755771  -0.013958696   0.025205975  -0.014437237   0.14367233   4.9099659 0 0.044862275  0.11222069 3.8965174e-09 0.25071434 0.95180863 0.43261193 0.64168822 -15.840774 -15.840774  232.7333  232.7333
 4 99.921061 4.4232073 0.98896903 87.336318 0.058815465 0.20658449   0.0055253952 -0.0094860716   0.0043504181  -0.012448007  0.0007259957  0.0037266377  -0.003161867   0.021693836   0.29459439   3.5033656 0 0.044862275  0.11222069 4.4232073e-09 0.25071434  1.0059651  0.4572269 0.67819931 -18.937704 -18.937704 237.71753 237.71753
 5 101.14463 3.8736869  1.0067215 87.336318 0.058815465 0.20658449  -0.0018007329  -0.026890449  -0.0012109915   0.027439279  0.0024835707   0.036409358   0.015213598   0.042300185   0.10543386   3.6776414 0 0.044862275  0.11222069 3.8736869e-09 0.25071434 0.94922554 0.43143788 0.63994676  -15.62521  -15.62521 233.53968 233.53968
 2 100.95783 3.7115912 0.99488641 87.336318 0.058815465 0.20658449   -0.002261608  -0.021101204  -0.0020650469   0.029809415 -0.0015085093   0.026272732   0.021043064   0.036469985   0.08584015   4.3058475 0 0.044862275  0.11222069 3.7115912e-09 0.25071434 0.92403484 0.41998831 0.62296375   -16.0091   -16.0091 233.93386 233.93386
 7 102.12147 3.7320041   1.007761  87.73719 0.065357239 0.21231176  -0.0091583303  -0.018369629  -0.0033168745  0.0082007435   0.003610854    0.04217923   0.056677188   0.027518207   0.17788162  -1.9098133 0  0.05031079  0.11262624 3.7320041e-09 0.25071434 0.90156502 0.41541682  0.6119847 -15.391929 -15.391929  235.0268  235.0268
 2 98.737005 3.4067937 0.93922407 81.104041 0.041406669 0.21543244 -6.2233655e-06    -0.0073292   0.0023277643  -0.033008402   0.059203325 -0.0083868019 -0.0039325084  0.0089992534    1.3938322   4.6522813 0  0.02723675  0.11404745 3.4067937e-09  0.2472408 0.98436241 0.45688886 0.67062972 -16.331919 -16.331919 230.13785 230.13785
 1  100.4916 3.4547047 0.91862718 81.104041 0.041406669 0.21543244   0.0075894251   -0.016160717  0.0083056514   -0.058968748   0.049154362   -0.021626962   -0.027073817  0.0098036485   1.782325   4.7945982 0  0.02723675  0.11404745 3.4547047e-09  0.2472408 0.98246821 0.45600968 0.66933923 -14.175729 -14.175729 229.33467 229.33467
 2 100.77825 3.5787866  0.9243717 81.104041 0.041406669 0.21543244    0.008500945   -0.008750351  0.0063701268   -0.064765936   0.044365482   -0.011794861   -0.023351242  0.0055522184  2.1335023   4.6025091 0  0.02723675  0.11404745 3.5787866e-09  0.2472408  1.0024341 0.46527679 0.68294168 -14.379971 -14.379971 230.31644 230.31644
 2 98.530541 3.5959327 0.92378379 80.299224 0.040314189 0.21577995  -0.0039117106   -0.027263665  0.0027283913   -0.019815002  0.0024417009    -0.01351763   -0.026871766   -0.01149807  1.6195762   3.9591064 0  0.02599445  0.11272373 3.5959327e-09 0.24680399  1.0046962  0.4667027 0.68475868 -16.864366 -16.864366 230.78981 230.78981
 2 101.85108 3.3418061 0.97838723 80.299224 0.040314189 0.21577995    -0.00807772   -0.040550285  -0.013009882   -0.011081185 -0.0045774625 -0.00044903061   -0.035097558   0.020055512  1.4800797   3.9971326 0  0.02599445  0.11272373 3.3418061e-09 0.24680399 0.99169972 0.46066555 0.67590081 -13.813532 -13.813532 231.32923 231.32923
 3 103.56228 3.0439561 0.96876762 80.299224 0.040314189 0.21577995    0.028952735   -0.026403859  -0.015742582   -0.017966866   0.053674154    0.025812321    0.011406086   0.026938254  1.8684352   2.2476135 0  0.02599445  0.11272373 3.0439561e-09 0.24680399 0.94249755  0.4378101 0.64236668 -13.423479 -13.423479 233.97152 233.97152
 1 102.06234 3.1104976 0.93263403 80.299224 0.040314189 0.21577995   -0.030305074   -0.014853221 -0.0087519195   -0.013553777    0.01048255    0.048690433   0.0072263883   0.040424824  1.2375356   3.7674415 0  0.02599445  0.11272373 3.1104976e-09 0.24680399 0.93796649 0.43570532 0.63927849 -14.790182 -14.790182 233.70505 233.70505
