#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217   xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
 2 1417.7858 3.0522502 0.96524158 1.0406158 0.022533889 0.11924368 0.058085985  1.0009491 0.99938125 0.99814351 49.217905 0.91789541 3.9038509 0.99832223 10.405265 11.025356 15.838659 86.253415 270.10145 52.384653 47.236733 111.17358  0.11832147 0.12464042 0.62200182 0.15200802 0.64094649 1.9826638 2.1162912e-09 67.655584 0.31115154 0.14242271 0.68876952  0.2454598 0.24678655 2.5558444 8.0110872 0.81100332 0.98598614 0.45238543 0.60571122 2.1162912 1.8841808 13.786851 147.11178 22.809051 20.508869 2.3001816 2789.9536 23.547543 396.87579 2360.9577 8.5726064
 4 1415.7892 3.0427409 0.96475998 1.0408812  0.02243608 0.11947333 0.052896978  1.0011631 0.99885312 0.99853598 47.282672 0.81923843 3.3795489  3.9272609 9.4924587 10.018445 16.642858 88.725202 263.42971 48.603501 39.987273 109.56462  0.16216529 0.14243911 0.53947862 0.24104226 0.75189115 2.0542987 2.0962621e-09 67.582804  0.3121107 0.14255455 0.68781019 0.24542443 0.24675105 2.5733476 7.5138896  0.8084446 0.98340443 0.45165269 0.60426499 2.0962621 1.8858183 13.789759 147.15969 22.605005 20.585933 2.0190718 2786.3684 23.453521 395.83957 2358.4169 8.6584221
 1 1417.0068 3.0531706 0.96182179 1.0410229 0.022427843 0.12105153 0.056653987  1.0005854  1.0001855   0.997852 50.901123 0.93333464 2.8309711  2.9054293 7.6620692 9.5660604 13.751832 80.737396 283.96193 58.422846 48.690679 116.59406  0.12006895 0.10991079 0.42410909 0.23047102 0.88715563 2.3112879 2.1182399e-09 67.072954 0.32036346 0.14412451 0.67955622 0.24542131 0.24674792 2.5748556 7.9230537 0.81720662 0.99783368 0.46254433  0.6148124 2.1182399 1.8913248  13.79278 146.75347 23.093057 20.838601 2.2544561 2787.8274 24.349768 396.70618 2357.0728 9.6986439
 1 1415.1608 3.0550891 0.96301404 1.0411691 0.022505739 0.12061681 0.057858045  1.0006825 0.99968235 0.99846333 46.752433  0.5632714 6.1906827  1.6459985 10.144889 10.129105 17.847292 91.722603 253.27856  41.04834 44.144949  118.9916  0.15386923 0.15422162 0.31108218 0.23182221 0.77662453 2.2191111 2.1223077e-09 67.337107 0.31706799 0.14376769 0.68285233 0.24544987 0.24677659 2.5608152 8.0189186 0.81672417 0.99528666  0.4598875 0.61286315 2.1223077 1.8903991 13.778816 146.78147 22.479213 20.227942 2.2512716 2785.3631 24.162787 396.97894 2354.8546 9.3667947
 9 1419.6037 3.0517841 0.96313256 1.0411691 0.022505739 0.12061681 0.057858045 0.99765725  0.9992035  0.9980625 34.017524 0.67320392 4.9424278  2.1543966 8.8979666 10.853005   20.2813 98.785761 256.44159 44.348008 45.385083 134.70375  0.10687658 0.12432556  0.3452582 0.26664594 0.74312561 1.9832736  2.115305e-09 67.337107 0.31706799 0.14376769 0.68285233 0.24544987 0.24677659 2.5608152 8.0189186  0.8154121 0.99368773 0.45914869 0.61187858  2.115305 1.8841615 13.778816 146.78147 21.888234 19.853119 2.0351153 2795.4308  24.36436 397.00755 2364.5157 9.5432217
 7 1427.3772   3.05072 0.96379921 1.0406782 0.022559575 0.12003454 0.058060376 0.99744087 0.99849859 0.99727844 37.930917 0.56023003 3.2782078 0.19856632 4.3816603 11.519102 17.267489 91.063752 276.89994 52.503916 42.281731  127.5914 0.080985757   0.121083  0.3388461 0.30353191 0.66062118  1.968507 2.1130553e-09 67.420262 0.31512378 0.14323925 0.68479673 0.24546879 0.24679557 2.5513391 8.0159653 0.81255871 0.98959965 0.45613704 0.60880056 2.1130553 1.8813962 13.785686 146.87473 29.037847 26.106208 2.9316385 2796.6787 24.206257  396.9935 2366.3345 9.1444773
 3 1426.1427 3.0459752 0.96497979 1.0404986 0.022429887 0.11929629 0.056794868 0.99765754 0.99822349 0.99749667 37.660797 0.52323138 1.9376751 0.72297282 4.4250747 9.9873496  15.64009 91.343722 263.77679 57.027071 43.674482 130.91164  0.10628766 0.12797227 0.37683282 0.29816464 0.59860523  1.848897  2.103053e-09 67.511873 0.31236488 0.14237132 0.68755585 0.24542209  0.2467487 2.5744808 7.9068601 0.80889994 0.98447507 0.45209104 0.60472838  2.103053 1.8772358  13.80108 147.21341 29.920766 26.112912  3.807854 2792.4439 23.734809 396.61011 2363.4662 8.6327513
 1 1424.2515 3.0490413  0.9643586 1.0405841 0.022421489  0.1196698 0.057989676 0.99768428 0.99788023 0.99814944 46.640996 0.46818545 2.0724251  1.4509497 3.7428134  8.182664 12.328715 84.731968 266.85271 56.998264 44.289385 119.43664  0.15232496 0.12001034 0.52133452 0.24962862 0.69552253 2.2213403 2.1095111e-09 67.402303 0.31418493 0.14273643 0.68573554  0.2454189  0.2467455 2.5760222 8.0346011 0.81132368 0.98822716 0.45476479 0.60742196 2.1095111 1.8785062 13.800938 147.12412 31.281148 28.018992 3.2621564 2785.9407 23.914661 397.01391 2356.1582 8.8539783
 1 1423.2547 3.0490406 0.96687391 1.0405841 0.022421489  0.1196698 0.057989676 0.99788312 0.99835766 0.99818373 33.519619  0.9932488 2.3787403  4.5521521 5.7212823 6.8807957 12.374043 92.935375 222.47265 47.795735 48.140491 132.24964   0.1298768 0.16563571 0.56450484 0.30982519 0.63949432 2.2735379 2.1095097e-09 67.402303 0.31418493 0.14273643 0.68573554  0.2454189  0.2467455 2.5760222 8.0346011 0.81209388 0.98916529  0.4551965 0.60799859 2.1095097 1.8785049 13.800938 147.12412 28.843406 26.753419  2.089987 2788.8225  23.31523 396.92888 2359.6448 8.9336076
 1 1418.4958 3.0559202 0.96894178 1.0407362 0.022394324 0.11886818 0.062507852  1.0008267 0.99865916 0.99848946 39.224864 0.89274528 4.7260658  5.8513789 7.8882862 8.4901189      16.8 96.204873 204.24602  42.40987   46.4436 122.08984  0.16792222 0.16800978  0.5480206 0.29446846 0.60941205 2.0567451 2.1240722e-09 67.713251 0.30949844 0.14190764 0.69042276 0.24540842 0.24673498 2.5810429 8.4720547 0.81305501  0.9880595 0.45232351  0.6064354 2.1240722 1.8744577 13.795734 147.36656 25.886894 23.018663 2.8682301 2785.2179 22.598406 398.39208 2355.5095 8.7179227
